Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
"Rp779,6 Jt - Rp987,5 Jt",Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp18,6 Jt/m² - Rp23,5 Jt/m²"
"Rp1,5 M - Rp5,1 M",Kel. Cilandak Timur,Kec. Pasar Minggu,Kota Jakarta Selatan,1-3 Kamar Tidur,Luas Bangunan 32-107m,Sertifikat Hak Milik,"Rp14,4 Jt/m² - Rp162 Jt/m²"
Rp868 Jt - Rp1 M,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Hak Guna Bangunan,"Rp20,7 Jt/m² - Rp24 Jt/m²"
"Rp770 Jt - Rp1,7 M",Kel. Ulujami,Kec. Pesanggrahan,Kota Jakarta Selatan,1-2 Kamar Tidur,Luas Bangunan 25-52m,Hak Guna Bangunan,"Rp14,8 Jt/m² - Rp70,5 Jt/m²"
"Rp840 Jt - Rp1,1 M",Kel. Semanan,Kec. Kalideres,Kota Jakarta Barat,6 Kamar Tidur,Luas Bangunan 48m,N/A,"Rp17,5 Jt/m² - Rp22,9 Jt/m²"
"Rp1,2 M - Rp4,3 M",Kel. Tebet Barat,Kec. Tebet,Kota Jakarta Selatan,1-2 Kamar Tidur,Luas Bangunan 33-108m,Hak Guna Bangunan,"Rp11,8 Jt/m² - Rp131 Jt/m²"
"Rp905 Jt - Rp2,6 M",Kel. Pejaten Barat,Kec. Pasar Minggu,Kota Jakarta Selatan,Sertifikat Hak Milik,N/A,N/A,-
Rp13 Jt - Rp35 Jt,Kel. Mampang Prapatan,Kec. Mampang Prapatan,Kota Jakarta Selatan,N/A,N/A,N/A,-
Rp570 Jt,Kel. Pesanggrahan,Kec. Pesanggrahan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 37m,Sertifikat Hak Milik,"Rp15,4 Jt/m²"
"Rp1,7 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 84m,Sertifikat Hak Milik,"Rp20,2 Jt/m²"
Rp747 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 33m,Strata,"Rp22,6 Jt/m²"
Rp525 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 33m,Hak Guna Bangunan,"Rp15,9 Jt/m²"
Rp950 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 46m,Hak Guna Bangunan,"Rp20,7 Jt/m²"
"Rp1,1 M",Kel. Karet Tengsin,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 48m,Sertifikat Hak Milik,"Rp22,9 Jt/m²"
"Rp1,2 M",Kel. Kebon Melati,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 56m,Sertifikat Hak Milik,"Rp21,4 Jt/m²"
"Rp1,4 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 53m,Sertifikat Hak Milik,"Rp26,4 Jt/m²"
Rp1 M,Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 54m,Strata,"Rp18,5 Jt/m²"
"Rp1,1 M",Kel. Paseban,Kec. Senen,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 53m,Strata,"Rp20,8 Jt/m²"
Rp1 M,Kel. Pegangsaan,Kec. Menteng,Kota Jakarta Pusat,Luas Bangunan 29m²,Hak Guna Bangunan,N/A,"Rp34,5 Jt/m²"
Rp255 Jt,Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Luas Bangunan 21m²,N/A,N/A,"Rp12,1 Jt/m²"
Rp525 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 42m,Strata,"Rp12,5 Jt/m²"
Rp360 Jt,Kel. Kenari,Kec. Senen,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 30m,N/A,Rp12 Jt/m²
"Rp3,3 M",Kel. Lebak Bulus,Kec. Cilandak,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 133m,Sertifikat Hak Milik,"Rp25,2 Jt/m²"
Rp300 Jt,Kel. Petukangan Selatan,Kec. Pesanggrahan,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp8,8 Jt/m²"
Rp600 Jt,Kel. Srengseng,Kec. Kembangan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 40m,Hak Guna Bangunan,Rp15 Jt/m²
